date,symbol,RealGDP_pct_YoY,FedDebt_pct_YoY,CPI_pct_YoY,Unemployment_bps_YoY,USTYield_10y_bps_YoY,revenue_qtly_YoY,operatingCashFlow_qtly_YoY,Return_pct_YoY,eps_qtly_pct_YoY
2001-03-31,AAPL,2.1975051856706784,0.006027652374895887,2.9824561403508643,0.2999999999999998,-1.1000000000000005,-26.426735218509002,-172.1311475409836,-0.6749932390210802,-78.21782178217822
2001-06-30,AAPL,0.9962983270431103,0.7189139241405629,3.193960511033689,0.5,-0.6100000000000003,-19.17808219178082,-114.1025641025641,-0.5560856133436154,-75.78125
2001-09-30,AAPL,0.48923629256110157,2.348974186397723,2.5921658986175045,1.1,-1.2000000000000002,-22.459893048128343,74.0506329113924,-0.39767011726793355,-63.44086021505376
2001-12-31,AAPL,0.16731829373148877,4.966659696486331,1.603665521191311,1.8000000000000003,-0.04999999999999982,36.544190665342605,-423.0769230769231,0.47226748294417553,-117.27272727272728
2002-03-31,AAPL,1.3372586567694578,4.023250094392883,1.3628620102214661,1.4000000000000004,0.4900000000000002,4.472396925227118,-104.54545454545455,0.07249815554352401,-9.090909090909093
2002-06-30,AAPL,1.3253787532159889,6.9786434519012674,1.0692177827799743,1.2999999999999998,-0.5599999999999996,-3.1186440677966054,12.12121212121211,-0.23784928169197306,-48.38709677419354
2002-09-30,AAPL,2.1465169830615416,7.245365619141153,1.516002245929271,0.7000000000000002,-0.9699999999999998,-0.4827586206896606,-70.18181818181819,-0.06511696271613088,-164.70588235294116
2002-12-31,AAPL,1.9925248221954739,7.777786564310674,2.4802705749718212,0.2999999999999998,-1.2400000000000002,7.054545454545447,161.9047619047619,-0.3456610783566263,-115.78947368421053
2003-03-31,AAPL,1.6792570124718242,7.571454830743485,3.025210084033625,0.20000000000000018,-1.5899999999999999,-1.3377926421404673,4800.0,-0.4026200171789316,-65.0
2003-06-30,AAPL,1.9550651524723905,8.873822751735139,1.948775055679297,0.5,-1.3200000000000003,8.117564730580828,-121.62162162162163,0.07561886897183201,-43.75
2003-09-30,AAPL,3.2311353875128956,8.912379042798001,2.378318584070782,0.39999999999999947,0.33000000000000007,18.849618849618842,-10.97560975609756,0.4289636926982303,-200.0
2003-12-31,AAPL,4.300440651057458,9.245770997643188,2.0352035203520247,-0.2999999999999998,0.4399999999999995,36.277173913043484,99.0909090909091,0.49127564328671935,-1133.3333333333335
2004-03-31,AAPL,4.341952085996703,10.374790891991914,1.7400761283306032,-0.10000000000000053,0.029999999999999805,29.423728813559325,-37.755102040816325,0.9123043520891989,214.28571428571433
2004-06-30,AAPL,4.227491217016888,9.058516329763734,3.1676679410158393,-0.7000000000000002,1.08,30.355987055016186,2537.5,0.7072396885214642,222.2222222222222
2004-09-30,AAPL,3.494860356231766,8.782321930853909,2.5391680172879516,-0.6999999999999993,0.17999999999999972,37.0262390670554,506.8493150684931,0.8701719946438553,122.7272727272727
2004-12-31,AAPL,3.3511049439547858,8.547900503632189,3.3423180592991875,-0.2999999999999998,-0.02999999999999936,73.97806580259223,253.8812785388128,2.013571712381019,332.2580645161291
2005-03-31,AAPL,3.9088432572524257,9.05714263277253,3.2068412613575736,-0.5999999999999996,0.6400000000000001,69.87951807228916,778.688524590164,2.0821023412313915,481.8181818181818
2005-06-30,AAPL,3.6177355801611855,7.728005377811176,2.541026998411855,-0.5999999999999996,-0.6800000000000002,74.77656405163853,123.69668246445498,1.2624483854706172,382.75862068965523
2005-09-30,AAPL,3.448598847170792,7.50309016617714,4.741833508956805,-0.40000000000000036,0.20000000000000018,56.51063829787235,69.75169300225734,1.7669700007380773,281.6326530612245
2005-12-31,AAPL,2.9727366937913002,7.560020921143806,3.3385498174230532,-0.5,0.14999999999999947,64.72779369627509,-63.48387096774193,1.2326100258861281,81.34328358208953
2006-03-31,AAPL,3.2131067957182013,7.640756858193187,3.4179181771103018,-0.5,0.3600000000000003,64.72779369627509,-63.48387096774193,0.5051593178530507,89.84374999999997
2006-06-30,AAPL,2.9729038556202125,7.446516912660961,4.1817243159525175,-0.40000000000000036,1.2100000000000004,34.41258094357076,-123.32089552238806,0.5558275329192333,24.285714285714267
2006-09-30,AAPL,2.325277937424497,7.239190642289972,2.012072434607637,-0.5,0.2999999999999998,31.51169113648722,40.29255319148937,0.43592647307335564,21.3903743315508
2006-12-31,AAPL,2.6345603763438197,6.239721296830414,2.5239777889954462,-0.5,0.3200000000000003,23.760654026787265,540.6360424028269,0.18013531723973464,72.01646090534979
2007-03-31,AAPL,1.5767249700146868,5.716163932436569,2.7991987981973,-0.2999999999999998,-0.20999999999999996,20.76164257857307,-687.2,0.4813462152553918,31.275720164609044
2007-06-30,AAPL,1.9343747200181172,5.3163036478915515,2.690782953419224,0.0,-0.1200000000000001,23.79862700228832,21.847070506454823,1.1309583706209554,93.67816091954025
2007-09-30,AAPL,2.3680360773066234,5.885512286742611,2.8353057199210996,0.20000000000000018,-0.04999999999999982,28.53008062848874,60.758293838862556,0.993634159617782,63.436123348017624
2007-12-31,AAPL,2.133364682457861,6.324122511124131,4.10635155096013,0.5999999999999996,-0.6699999999999999,35.03865073787773,53.72311086596802,1.334748358032532,54.30622009569379
2008-03-31,AAPL,1.3924712055185307,6.643517014485867,3.9748648253689955,0.6999999999999993,-1.2000000000000002,42.70516717325228,62.5340599455041,0.5445045522564902,32.915360501567406
2008-06-30,AAPL,1.3760107660276244,7.040502264572779,4.93654393668872,1.0,-1.04,37.96672828096119,7.660961695191526,0.3720090664203253,28.486646884272982
