symbol,amcEquivalentEarnReportedDate,earnReportedDate,earnReportedTime,fiscalDateEnding_ea,weekday,month,netProfitMargin,netProfitMargin_ttm_y,epsEst,epsAct,epsSurpriseAbs,epsSurprise_pct,standEpsSurpriseScore,epsSurpriseChange_QoQ,epsAct_YoY,revenueEst,revenueAct,revSurpriseAbs,revSurprise_pct,standRevSurpriseScore,revSurpriseChange_QoQ,revenueAct_YoY,returnPre_5d,returnPre_15d,returnPre_10d,closeCV_5d,closeCV_15d,closeCV_10d,BOP_SMA_5d,BOP_SMA_15d,BOP_SMA_10d,returnPost_1d,returnPost_2d,returnPost_3d,returnPost_4d,returnPost_5d
AAPL,2000-01-19,2000-01-19,amc,2000-01-01,Wednesday,January,0.07810499359795134,,0.00823,0.00916,0.0009300000000000003,0.11300121506682871,,,,,2343000000.0,,,,,,0.14892163815980153,,0.03963345659296835,0.07631859479723661,,0.05929961136405601,0.06982639599797447,,-0.09252592966691708,0.06510279396346519,0.044575524266833755,-0.0029320103984253887,0.05337229892900619,0.03401769956770373
AAPL,2000-04-19,2000-04-19,amc,2000-04-01,Wednesday,April,0.11979434447300771,,0.01043,0.01143,0.0009999999999999992,0.0958772770853307,,-0.017123937981498014,,,1945000000.0,,,,,,0.10869563167975094,-0.10896596427634353,-0.07094978415377584,0.05400976192915419,0.0627795041177304,0.059621232117358515,0.28400890899116565,-0.03182735276030377,-0.047994929690540894,-0.018575606568005387,-0.005159400151707794,0.05933996960741794,0.0015479508619462568,0.046439834022725
AAPL,2000-07-18,2000-07-18,amc,2000-07-01,Tuesday,July,0.1095890410958904,,0.00958,0.00987,0.0002900000000000003,0.030271398747390432,,-0.06560587833794027,,,1825000000.0,,,,,,0.005488088004211189,0.05773616260373715,0.073856308221117,0.015960341197999692,0.04992567235733212,0.045869757566895826,-0.07420164157608786,-0.003836846394709004,0.03984946835635149,-0.07969388011397704,-0.03711749285255983,-0.06441016588482296,-0.14956252525103653,-0.12554557634360075
AAPL,2002-01-16,2002-01-16,amc,2001-09-29,Wednesday,January,0.04551724137931035,-0.006899123624836845,0.00329,0.00336,7.000000000000018e-05,0.021276595744680906,,-0.06560587833794027,-0.6,1375000000.0,1450000000.0,75000000.0,0.05454545454545454,,,-0.22459893048128343,-0.040186083377802495,-0.027155819261762693,-0.10815473745030224,0.015846950410363696,0.042662065273233685,0.04888502436174477,0.002542687268527288,0.05808069466075813,-0.06211190227686823,0.08181178098567665,0.06689327479597118,0.0500500737118208,0.10779635349762517,0.11694020311426367
AAPL,2002-07-16,2002-07-16,amc,2002-03-30,Tuesday,July,0.026755852842809364,0.03537532355478861,0.00189,0.00195,5.999999999999994e-05,0.031746031746031717,0.12961301379991103,-0.06560587833794027,-0.10550458715596334,1429000000.0,1495000000.0,66000000.0,0.04618614415675298,,,0.04472396925227118,0.01882489188677705,0.034163937216314944,0.04689394038781325,0.02415822537595384,0.033496416068392,0.029939010430565332,-0.041016977842920355,-0.008798299086373267,0.008522049449696312,-0.12486159918591933,-0.16069393591509995,-0.16237459644185703,-0.16461318525037683,-0.18980989627923606
AAPL,2004-01-14,2004-01-14,amc,2003-12-27,Wednesday,January,0.03140578265204387,0.020768431983385256,0.00276,0.00302,0.00026000000000000025,0.09420289855072474,0.12961301379991103,-0.06560587833794027,-11.066666666666668,1429000000.0,2006000000.0,66000000.0,0.04618614415675298,,,0.3627717391304348,0.07127037565896432,0.21914523388711205,0.13721846937511395,0.021441036344875347,0.06217941932500517,0.04675749700605239,-0.0023572008813434464,0.19492684266067004,0.06640091416582442,-0.05578492527376022,-0.0611579467297525,-0.06074397633379203,-0.06570294554914302,-0.0834728171307465
AAPL,2004-04-14,2004-04-14,amc,2004-03-27,Wednesday,April,0.024096385542168676,0.02397212543554007,0.00149,0.00217,0.00068,0.4563758389261745,0.12961301379991103,0.3621729403754498,2.1449275362318843,1429000000.0,1909000000.0,66000000.0,0.04618614415675298,,,0.29423728813559324,-0.04275982487501062,0.05338031217870354,-0.04584509251883473,0.019839844251330358,0.025692201853404303,0.019147672133208563,-0.19015579674865637,0.10054992389483179,-0.07540134104493083,0.09984977890622249,0.09534530219867032,0.06419016852940573,0.04091760887869489,0.04091760887869489
AAPL,2004-07-14,2004-07-14,amc,2004-06-26,Wednesday,July,0.03028798411122145,0.027995813710099425,0.00241,0.00277,0.0003600000000000001,0.1493775933609959,1.2414408180525502,-0.30699824556517863,1.9784946236559136,1429000000.0,2014000000.0,66000000.0,0.04618614415675298,,,0.30355987055016187,-0.02665508740657707,-0.10363734533593838,-0.08984640268051047,0.015382158904378503,0.051229864043384844,0.03878346775000765,-0.15121595423042405,-0.020076404287142465,-0.09060741193189017,0.1132534228368034,0.08857412567456047,0.08079879516894461,0.08857412567456047,0.06896642695838939
AAPL,2004-10-13,2004-10-13,amc,2004-09-25,Wednesday,October,0.0451063829787234,0.03333735958449088,0.00316,0.00466,0.0015,0.47468354430379744,5.893466065579025,0.32530595094280157,1.1775700934579438,3172500000.0,2350000000.0,-822500000.0,-0.25925925925925924,,,0.370262390670554,-0.021899941097328623,0.076650559391362,0.02766274095176957,0.016208603054597044,0.024245212530305257,0.01792024758565983,-0.1541486591885086,0.062168440265774325,-0.11987353619812299,0.13157280809565375,0.14465462017043196,0.20125936022085145,0.19295720146425088,0.19421524623904496
AAPL,2005-01-12,2005-01-12,amc,2004-12-25,Wednesday,January,0.08452722063037249,0.05203318652053672,0.00874,0.01257,0.00383,0.4382151029748284,6.7777526218157575,-0.03646844132896904,3.162251655629139,2879249998.0,3490000000.0,610750002.0,0.21212121296318223,,0.4713804722224415,0.7397806580259223,0.014884046173946786,0.02779207430426056,0.015829465076513616,0.03543316421996139,0.02786403790446601,0.03129746287374549,-0.04923908912902705,-0.04305324706313532,-0.12639097101087926,0.06629955316665659,0.07240994876051987,0.07928415893225238,0.06752134181561664,0.07638176035962108
